state,state_name,fy2026_allotment,rows,priced_rows,published_priced,pct_priced,pool_level_unpriced,published_incl_pool_level,pct_incl_pool_level,year1_status,source_calls_complete,remaining_unawarded,evidence_date,evidence,evidence_path
MS,Mississippi,205907220,167,167,104115146.8,50.6,0,104115146.8,50.6,PARTIAL,No,Yes,2026-09-14,Governor's release: the Workforce Expansion Initiative and Psychiatric Emergency Services (EmPATH) 'are currently being reviewed and will be announced in the next 30 to 45 days'; two further opportunities launch in October (session 46).,data/evidence/MS/2026-09-14_ms_governor_167_awards_ROSTER.html
NV,Nevada,179931608,156,0,0,0,87400000,87400000,48.6,PARTIAL,No,Yes,2026-09-24,"RHIT, RHOAP and a Tribal section have since awarded (155 named actions, session 64), but the Presidential Fitness Test, Correctional and Veterans opportunities still have no section, and NVHA: 'All RHT subawards for BP1 to be finalized by October 1, 2026' (session 26).",data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html; data/evidence/NV/2026-06-09_nv_rhtsc_program_fiscal_update.pdf
WA,Washington,181257515,8,7,67020000,37,19410000,86430000,47.7,PARTIAL,No,Yes,2026-09-16,"HCA's deck prices first-tier lines but its competitive pools (incl. 1.4, $10.71M for rural hospitals) name no winners, and 6.4 is 'RFA posted' (session 60).",data/evidence/recheck/2026-09-23/WA/hca_rhtp_webinar_2026-09-16.pdf
MD,Maryland,168180838,41,41,78625071,46.8,0,78625071,46.8,PARTIAL,No,Yes,2026-08-29,MDH runs ten Budget Period 1 opportunities and links award offers for two (session 21).,data/evidence/MD/2026-08-29_mdh_rhtp_program_page.html
KS,Kansas,221898008,60,60,96027147,43.3,0,96027147,43.3,PARTIAL,No,Yes,2026-09-22,"KDHE's programme page: 'Open RHTP Funding Opportunities -- More funding opportunities coming soon.' Interfacility Transport (RFA webinar 2026-07-08), Evidence-Based Practice and KHA Healthworks have published no award.",data/evidence/KS/2026-09-22_kdhe_rhtp_program_page.html
VT,Vermont,195053740,111,111,84540011.33,43.3,0,84540011.33,43.3,PARTIAL,No,Yes,2026-09-18,AHS: the list 'does not represent the full Year 1 awards or funding decisions ... procurement and award processes remain underway for some activities.',data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html
NY,New York,212058208,56,56,76190022,35.9,0,76190022,35.9,PARTIAL,No,Yes,2026-09-04,RCHI ($76.2M) is awarded; Enhanced Primary Care and Rural Roots have no solicitation and Initiative 4 (cybersecurity) is at interest-form stage (session 37/52).,data/evidence/NY/2026-09-22_ny_governor_rchi_awards_release.html
NH,New Hampshire,204016550,2,1,66547394,32.6,0,66547394,32.6,PARTIAL,No,Yes,2026-09-01,FHC's Critical Access Hospital and Acute Care Hospital opportunity reads 'Coming Soon' and Primary Care's first cohort is notified 'Late October' (session 29). CDFA's 'up to $40 million a year' is a ceiling and is NOT counted as published.,data/evidence/NH/2026-09-01_fhc_go_north_rhtp.html
CT,Connecticut,154249106,4,4,49980000,32.4,0,49980000,32.4,PARTIAL,No,Yes,2026-09-16,Four executed agreements ($49.98M) against DSS's $154.2M across 30 projects; the Governor's release points readers to 'updates on hospital projects and future phases of work' (session 54).,data/evidence/recheck/2026-09-23/CT/ct_governor_rhtp_50m_release.html
IL,Illinois,193418216,1,1,50008264,25.9,0,50008264,25.9,PARTIAL,No,Yes,2026-08-29,"Only ICAHN's three agreements are published. HFS's Hospital Planning Grant ($28,191,393 across 97 eligible hospitals) and the other AmpliFund solicitations name no recipient (sessions 16, 21).",data/evidence/recheck/2026-08-29/IL/IL_rhtp_hospital_planning_grant_methodology.pdf; data/evidence/IL/2026-08-28_hfs_rhtp.html
PA,Pennsylvania,193294054,66,66,42198309.8,21.8,0,42198309.8,21.8,PARTIAL,No,Yes,2026-08-29,"DHS's RHTP funding-opportunities page lists 'Upcoming Opportunities' -- four further payment programmes (Rapid Response Stabilization Rounds 1 and 2, an FQHC EHR/HIO programme and one more), about $86.8M, naming nobody (session 21). The 66 selected projects are one tranche.",data/evidence/recheck/2026-08-29/PA/PA_dhs_rhtp_funding_opportunities.html
NE,Nebraska,218529075,91,70,41687307.15,19.1,0,41687307.15,19.1,PARTIAL,No,Yes,2026-08-31,DHHS's RFA timeline carries nineteen initiative rows and an 'Awardees' link on three (session 23).,data/evidence/NE/2026-08-31_ne_dhhs_rhtp_program_page.html
ME,Maine,190008051,1,1,12000000,6.3,0,12000000,6.3,PARTIAL,No,Yes,2026-09-02,"EMR Modernization and APM Transition closed unawarded; the Rural Hospital Efficiency Fund cohort is INVITED, not awarded; Maine DOE's award date passed with no roster (session 33).",data/evidence/ME/2026-09-02_me_dhhs_rhtp_programme.html; data/evidence/ME/2026-08-05_me_rhtp_advisory_updates.pdf
LA,Louisiana,208374448,6,5,1965788,0.9,10736208,12701996,6.1,PARTIAL,No,Yes,2026-09-21,"One of seven Budget Year 1 solicitations has awarded (the Rural Clinician Credit Bank, 53 awards as of 8/28, session 64); LDH's programme page still dates the other six announcement windows to the end of September 2026.",data/evidence/LA/2026-09-21_la_ldh_rhtp_programme_SEVEN_WINDOWS_RE_DATED.html
OH,Ohio,202030262,1,1,10000000,4.9,0,10000000,4.9,PARTIAL,No,Yes,2026-07-01,Governor DeWine's release: 'Additional contracts will be awarded in the coming months.',data/evidence/OH/2026-09-03_oh_ohio_university_award_release.html
NC,North Carolina,213008356,44,0,0,0,10000000,10000000,4.7,PARTIAL,No,Yes,2026-09-02,"Two opportunities closed unawarded (Minority Diabetes Prevention, School Health Centers); the Rural Health Innovation Fund 'will launch this fall'; the ROOTS second tier names nobody (session 38).",data/evidence/NC/2026-09-02_nc_ncrhtp_grant_opportunities.html
MO,Missouri,216276818,22,2,7232660.43,3.3,0,7232660.43,3.3,PARTIAL,No,Yes,2026-09-23,"DSS: the ToRCH Care Smart Growth IFB is 'part of a multi-phase funding strategy' spanning Program Years 1 and 2, and its timeline reads 'Aug - Sept 2026 Announce select procurement awardees'. The 20 SMRP hospital awards are named but unpriced.",data/evidence/MO/2026-09-23_dss_rural_health.html; data/evidence/MO/2026-09-23_dss_smrp_awardees.html
WV,West Virginia,199476099,7,7,6444803,3.2,0,6444803,3.2,PARTIAL,No,Yes,2026-09-22,The Governor calls them 'the first implementation awards'; CMS's WV release: 'Additional funding opportunities will also expand access...' (sessions 54-55).,data/evidence/recheck/2026-09-23/WV/wv_art_first-rural-health-transformation-progra.html; data/raw/cms/2026-09-21/newsroom/releases/trump-administration-announces-4-8-million-strengthen-west-virginias-rural-healthcare-workforce.html
OK,Oklahoma,223476949,69,68,3572120.71,1.6,600000,4172120.71,1.9,PARTIAL,No,Yes,2026-08-31,"OSDH runs ten Budget Period 1 opportunities with rosters for two; five closed opportunities have none, and the Lung Cancer Screening Program's 11 selected hospitals are unnamed (session 25).",data/evidence/OK/2026-08-31_ok_rhtp_funding.html
IN,Indiana,206927897,7,1,860088,0.4,0,860088,0.4,PARTIAL,No,Yes,2026-09-03,GROW Regional Grants ($120M across eight regional coalitions) had not awarded at the last live check: all three pre-award sentences on the page (session 42).,data/evidence/IN/2026-08-31_grow_regional_grants.html
DE,Delaware,157394964,4,0,0,0,0,0,0,PARTIAL,No,Yes,2026-09-03,One of fifteen Year 1 initiatives (School-Based Health Centers) has published an award; fourteen have no roster (session 44).,data/evidence/DE/2026-09-03_de_dhss_rhtp_programme.html
IA,Iowa,209040064,264,0,0,0,0,0,0,PARTIAL,No,Yes,2026-06-18,"Iowa HHS: 'As we continue awarding funds through Healthy Hometowns...' (2026-06-18, the latest Iowa statement archived). Iowa prices no recipient, so no percentage of allotment can be computed.",data/evidence/IA/2026-06-18_ia_hhs_gme_approval_new_healthy_hometowns_awardees.html
ID,Idaho,185974368,1,0,0,0,0,0,0,PARTIAL,No,Yes,2026-09-03,One named awardee; eleven opportunities open or just posted and four closed with no awardee (session 44).,data/evidence/ID/2026-09-03_id_rhtp_funding_opportunities.html
TN,Tennessee,206888882,53,0,0,0,0,0,0,PARTIAL,No,Yes,2026-09-03,"TDH names 53 HART awards as 'the initial recipients of funding through the Rural Health Transformation Program', one priority of several, and prices none of them (session 59).",data/evidence/recheck/2026-09-23/TN/tn_doh_2026-09-03_first_recipients.html; data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
VA,Virginia,189544888,11,0,0,0,0,0,0,PARTIAL,No,Yes,2026-08-28,"The Governor: 'This initial investment of $122 million is the first step in a multi-pronged process' -- eleven first-tier partners, no per-partner figure, sub-grants still at RFA stage (session 60).",data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf; data/evidence/recheck/2026-09-23/VA/rhtva_ways_to_apply.html
SD,South Dakota,189477607,28,26,9223177,4.9,121500000,130723177,69,UNKNOWN,No,Unknown,2026-08-19,"Two announced rounds ($31.5M, $90M; 110 grants) name NO recipient, and 13 administrative contracts are on OpenSD. Neither release says Year 1 is complete or names a remaining Year 1 initiative; both speak only of 'future funding cycles'. The Rural Strong contracts promised to OpenSD 'once finalized' have not posted (session 13). No evidence either way.",data/evidence/SD/announcements/KB0046839.html; data/evidence/SD/announcements/KB0047023.html
