slug,url,item_date,item_type,title,topics,is_rural,reduced_sha256,full_page_sha256,full_page_bytes,first_indexed
calendar-year-cy-2027-home-health-prospective-payment-system-proposed-rule-fact-sheet-cms-1844-p,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2027-home-health-prospective-payment-system-proposed-rule-fact-sheet-cms-1844-p,2026-07-01,Fact Sheets,Calendar Year (CY) 2027 Home Health Prospective Payment System Proposed Rule Fact Sheet (CMS-1844-P),Administration; Home health agencies; Medicare Parts A & B,FALSE,,d7104e4ca85981308933e5426b3fdf8d1a6f3eba3bd0df82ff0949485cb59391,70878,2026-08-28
cms-launches-medicare-glp-1-bridge-expanding-access-glp-1-medications,https://www.cms.gov/newsroom/press-releases/cms-launches-medicare-glp-1-bridge-expanding-access-glp-1-medications,2026-07-01,Press Releases,"CMS Launches Medicare GLP-1 Bridge, Expanding Access to GLP-1 Medications",Administration; Drug Prices; Medicare Part D,FALSE,,41b4fc831f63c53629edfc9921e873b4b4fdc4ad8c3881b2b815bdb6fec97b72,54130,2026-08-28
cms-proposes-updates-strengthen-medicare-program-integrity-combat-fraud-expand-access-home-health,https://www.cms.gov/newsroom/press-releases/cms-proposes-updates-strengthen-medicare-program-integrity-combat-fraud-expand-access-home-health,2026-07-01,Press Releases,"CMS Proposes Updates to Strengthen Medicare Program Integrity, Combat Fraud, and Expand Access to Home Health Care",Administration; Home health agencies; Medicare Parts A & B,FALSE,,c8175d1ee2aa1c127293926738f176fed166157a8030955999dab78899c702cc,57221,2026-08-28
calendar-year-cy-2027-end-stage-renal-disease-esrd-prospective-payment-system-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2027-end-stage-renal-disease-esrd-prospective-payment-system-proposed-rule,2026-06-24,Fact Sheets,Calendar Year (CY) 2027 End-Stage Renal Disease (ESRD) Prospective Payment System Proposed Rule,Administration; End-Stage Renal Disease,FALSE,,c156b04d84976a86fcd2d7f3fc3d4ff00ed223abc012b01a9102e1564236064e,65103,2026-08-28
cms-ensures-accrediting-organizations-uphold-trust-standards-oversight,https://www.cms.gov/newsroom/press-releases/cms-ensures-accrediting-organizations-uphold-trust-standards-oversight,2026-06-12,Press Releases,CMS Ensures Accrediting Organizations Uphold Trust in Standards and Oversight,Accountable Care Organizations (ACOs); Policy,FALSE,,8749470bc3301348216b21c50e101afe57e7bf215a8c7b9b5c80c5ead63c1588,50973,2026-08-28
cms-proposed-rule-locks-lower-prices-fosters-innovation-medicare-drug-price-negotiation-program,https://www.cms.gov/newsroom/press-releases/cms-proposed-rule-locks-lower-prices-fosters-innovation-medicare-drug-price-negotiation-program,2026-06-12,Press Releases,CMS Proposed Rule Locks in Lower Prices and Fosters Innovation for the Medicare Drug Price Negotiation Program,Administration,FALSE,,77c6d50cc37c5153500d86eee289c4885606a12b943ddc30697c37bf30410ebe,59837,2026-08-28
strengthening-cms-oversight-accrediting-organizations,https://www.cms.gov/newsroom/fact-sheets/strengthening-cms-oversight-accrediting-organizations,2026-06-12,Fact Sheets,Strengthening CMS Oversight of Accrediting Organizations,Accountable Care Organizations (ACOs); Policy,FALSE,,5feb1e0e33e996cedc975a176a6957733faa79e77d85374aa9be8e0d76a4de0c,53062,2026-08-28
cms-takes-bold-new-approach-stewarding-medicaid-demonstration-project-spending,https://www.cms.gov/newsroom/press-releases/cms-takes-bold-new-approach-stewarding-medicaid-demonstration-project-spending,2026-06-11,Press Releases,CMS Takes Bold New Approach to Stewarding Medicaid Demonstration Project Spending,Billing & payments; Demonstration projects; Medicaid & CHIP; Policy,FALSE,,a9a3e94fc1be041b9eed072c5d861c343b34f30b3dcaf533e446708586b82613,58748,2026-08-28
june-1-5-medicare-fraud-prevention-week-heres-how-americans-can-help-protect-themselves-medicare,https://www.cms.gov/newsroom/blog/june-1-5-medicare-fraud-prevention-week-heres-how-americans-can-help-protect-themselves-medicare,2026-06-02,Blog,June 1-5 is Medicare Fraud Prevention Week. Here’s How Americans Can Help Protect Themselves and Medicare.,"Administration; Fraud, waste, & abuse",FALSE,,69ae7395e563dee7787da3c5a31fceebe6119ea84095eb155f11a2fdba17e424,58677,2026-08-28
cms-launches-nationwide-framework-implement-medicaid-work-requirements,https://www.cms.gov/newsroom/press-releases/cms-launches-nationwide-framework-implement-medicaid-work-requirements,2026-06-01,Press Releases,CMS Launches Nationwide Framework to Implement Medicaid Work Requirements,Administration,FALSE,,798a0a7e93ed847f361e7fa903f7aa2cb18498ffb15c14a35d3c0ae6de88aeba,55105,2026-08-28
medicaid-community-engagement-requirement-certain-individuals-interim-final-rule-comment-period-cms,https://www.cms.gov/newsroom/fact-sheets/medicaid-community-engagement-requirement-certain-individuals-interim-final-rule-comment-period-cms,2026-06-01,Fact Sheets,Medicaid Community Engagement Requirement for Certain Individuals Interim Final Rule with Comment Period (CMS-2454-IFC),Administration,FALSE,,620f8d31a458f02d39d82d6f2ab09ae90d8471ba077b84626f0e65b02f9fffd8,60235,2026-08-28
federal-independent-dispute-resolution-operations-final-rule,https://www.cms.gov/newsroom/fact-sheets/federal-independent-dispute-resolution-operations-final-rule,2026-05-28,Fact Sheets,Federal Independent Dispute Resolution Operations Final Rule,Affordable Care Act,FALSE,,8c16482d622a77a5f2b046399955ad2cf62b0cd8a89d416844e8611e6766495b,66213,2026-08-28
federal-rule-takes-aim-health-care-bureaucracy-reducing-dispute-fees-boosting-transparency,https://www.cms.gov/newsroom/press-releases/federal-rule-takes-aim-health-care-bureaucracy-reducing-dispute-fees-boosting-transparency,2026-05-28,Press Releases,"Federal Rule Takes Aim at Health Care Bureaucracy, Reducing Dispute Fees, and Boosting Transparency",Administration; Affordable Care Act,FALSE,,936c5c5cf24c48970606255c2f3aa4eba24c4de28fff784e498ca5b10b63f67a,57912,2026-08-28
cms-moves-rein-misused-medicaid-dollars-reward-quality-care,https://www.cms.gov/newsroom/press-releases/cms-moves-rein-misused-medicaid-dollars-reward-quality-care,2026-05-20,Press Releases,CMS Moves to Rein In Misused Medicaid Dollars and Reward Quality Care,"Fraud, waste, & abuse; Medicaid & CHIP; Policy",FALSE,,da2c04238a3138aa71bbf1480e3f2917018e72fc1bca110daed7962b51c011ec,57053,2026-08-28
medicaid-managed-care-state-directed-payments-medicaid-fee-service-targeted-medicaid-practitioner,https://www.cms.gov/newsroom/fact-sheets/medicaid-managed-care-state-directed-payments-medicaid-fee-service-targeted-medicaid-practitioner,2026-05-20,Fact Sheets,Medicaid Managed Care State Directed Payments and Medicaid Fee-For-Service Targeted Medicaid Practitioner Payments Proposed Rule (CMS-2449-P),"Fraud, waste, & abuse; Medicaid & CHIP; Policy",FALSE,,181215388e9fca1cf0f96c9afb700cc1adc67a3a468ca5209cb152067a28c64c,56583,2026-08-28
cms-final-rule-lowers-costs-cracks-down-fraud-expands-state-control,https://www.cms.gov/newsroom/press-releases/cms-final-rule-lowers-costs-cracks-down-fraud-expands-state-control,2026-05-15,Press Releases,"CMS Final Rule Lowers Costs, Cracks Down on Fraud, and Expands State Control",Affordable Care Act,FALSE,,623f2811066fab202293631761d2ed1673b5a0eeba0218b866c5e5efe11d092f,54774,2026-08-28
hhs-notice-benefit-payment-parameters-2027-final-rule,https://www.cms.gov/newsroom/fact-sheets/hhs-notice-benefit-payment-parameters-2027-final-rule,2026-05-15,Fact Sheets,HHS Notice of Benefit and Payment Parameters for 2027 Final Rule,Affordable Care Act,FALSE,,c94b3347ca7eab5fae0f911ee63e6caf468145cff36b75f0a36347a2070c4523,81690,2026-08-28
cms-announces-aggressive-nationwide-crackdown-fraud-six-month-hospice-home-health-agency-enrollment,https://www.cms.gov/newsroom/press-releases/cms-announces-aggressive-nationwide-crackdown-fraud-six-month-hospice-home-health-agency-enrollment,2026-05-13,Press Releases,CMS Announces Aggressive Nationwide Crackdown on Fraud with Six-Month Hospice and Home Health Agency Enrollment Moratoria,"Fraud, waste, & abuse; Home health agencies; Hospices",FALSE,,6ea4835696986611eab071eb02727a416dcca00b6a47f5b62779fde91216e595,56912,2026-08-28
cms-announces-early-adopters-advance-solutions-electronic-prior-authorization-accelerating-momentum,https://www.cms.gov/newsroom/press-releases/cms-announces-early-adopters-advance-solutions-electronic-prior-authorization-accelerating-momentum,2026-05-13,Press Releases,"CMS Announces Early Adopters to Advance Solutions for Electronic Prior Authorization, Accelerating Momentum Ahead of 2027 Requirements",Administration,FALSE,,5b3bb1216b42c9b151b5b59859dc70f2fd780a66551be6d27a8b40cbd90c6858,55287,2026-08-28
hhs-cms-announce-first-meeting-healthcare-advisory-committee,https://www.cms.gov/newsroom/press-releases/hhs-cms-announce-first-meeting-healthcare-advisory-committee,2026-05-12,Press Releases,HHS and CMS Announce First Meeting of Healthcare Advisory Committee,Administration,FALSE,,c63c6bf710f0a2a479e24dafd4f8b2fb101ea23759631f1f783b21c02c647c69,52782,2026-08-28
coming-soon-cms-provide-50-monthly-access-glp-1-medications-medicare-beneficiaries,https://www.cms.gov/newsroom/press-releases/coming-soon-cms-provide-50-monthly-access-glp-1-medications-medicare-beneficiaries,2026-05-06,Press Releases,Coming Soon: CMS to Provide $50 Monthly Access to GLP-1 Medications for Medicare Beneficiaries,Administration; Demonstration projects; Drug Prices; Prescription drugs,FALSE,,c9d63ef9d1a1de9244089e9a43e4474cde05c7dc63785992a684e10dcd5c7395,54005,2026-08-28
moving-prior-authorization-21st-century,https://www.cms.gov/newsroom/blog/moving-prior-authorization-21st-century,2026-05-05,Blog,Moving Prior Authorization into the 21st Century,Administration,FALSE,,061a55c2ecea422bc813e9a2bbfe4479a57819beb9da6431a9745a5bdb8efad6,57334,2026-08-28
cms-extends-deadlines-generous-model-applications-drug-manufacturers-states,https://www.cms.gov/newsroom/news-alert/cms-extends-deadlines-generous-model-applications-drug-manufacturers-states,2026-04-29,News Alert,CMS Extends Deadlines for GENEROUS Model Applications for Drug Manufacturers and States,Administration; Drug Prices,FALSE,,5b6ea7811f7066b0d9adaaf40f891d1e045931b18bff969192015ffc3c7e3d20,52806,2026-08-28
cms-fda-announce-rapid-coverage-pathway-accelerate-patient-access-life-changing-medical-devices,https://www.cms.gov/newsroom/press-releases/cms-fda-announce-rapid-coverage-pathway-accelerate-patient-access-life-changing-medical-devices,2026-04-23,Press Releases,CMS and FDA Announce RAPID Coverage Pathway to Accelerate Patient Access to Life-Changing Medical Devices,Coverage; National Coverage Determination (NCD),FALSE,,c88831ff829566ebaa0e445f1da7d714d69d545ebc306d093d572db5fd003e31,56884,2026-08-28
cms-announces-resources-flexibilities-assist-public-health-emergency-state-hawaii,https://www.cms.gov/newsroom/news-alert/cms-announces-resources-flexibilities-assist-public-health-emergency-state-hawaii,2026-04-21,News Alert,"CMS Announces Resources, Flexibilities to Assist with Public Health Emergency in State of Hawaii",Policy,FALSE,,e6eaa62f3fc40ecad3bc4c0d1e862eed5b3ac0edad0fe2309c5672ae9655f11b,63137,2026-08-28
cms-announces-resources-flexibilities-assist-public-health-emergency-guam-commonwealth-northern,https://www.cms.gov/newsroom/news-alert/cms-announces-resources-flexibilities-assist-public-health-emergency-guam-commonwealth-northern,2026-04-17,News Alert,"CMS Announces Resources, Flexibilities to Assist with Public Health Emergency in Guam and the Commonwealth of the Northern Mariana Islands",Policy,FALSE,,2c1945fd930f991a4c4083d68c60a6f837aaa43967990fa7cc7884ca216be331,63758,2026-08-28
cms-improve-patient-care-experience-lower-costs-hip-knee-ankle-replacements,https://www.cms.gov/newsroom/press-releases/cms-improve-patient-care-experience-lower-costs-hip-knee-ankle-replacements,2026-04-10,Press Releases,"CMS to Improve Patient Care Experience and Lower Costs for Hip, Knee, and Ankle Replacements",Administration; Innovation models; Payment Rules,FALSE,,eee022ee953d2005edd9f2bbcea1a96f62ac3a5dc8b7951c1c89cf63f7ad4baf,55541,2026-08-28
